College Attainment by State
State,2024,Preceding Period,Year Ago from Period,,
Alabama,29.9,28.9,28.9,,
Alaska,32.8,32.2,32.2,,
Arizona,34.7,33.5,33.5,,
Arkansas,27.1,26.2,26.2,,
California,38.1,37.5,37.5,,
Colorado,47.8,46.4,46.4,,
Connecticut,42.6,42.9,42.9,,
Delaware,36.0,36.5,36.5,,
District of Columbia,65.5,65.9,65.9,,
Florida,35.8,34.9,34.9,,
Georgia,36.3,35.4,35.4,,
Hawaii,37.8,37.0,37.0,,
Idaho,33.0,32.1,32.1,,
Illinois,39.2,38.3,38.3,,
Indiana,30.7,30.2,30.2,,
Iowa,32.1,31.5,31.5,,
Kansas,36.0,35.8,35.8,,
Kentucky,27.9,27.8,27.8,,
Louisiana,27.8,27.0,27.0,,
Maine,37.1,37.0,37.0,,
Maryland,44.7,43.7,43.7,,
Massachusetts,48.3,47.8,47.8,,
Michigan,33.3,32.7,32.7,,
Minnesota,40.0,40.0,40.0,,
Mississippi,27.0,25.5,25.5,,
Missouri,33.5,33.2,33.2,,
Montana,36.3,34.6,34.6,,
Nebraska,35.4,35.3,35.3,,
Nevada,28.5,28.7,28.7,,
New Hampshire,41.5,40.7,40.7,,
New Jersey,44.5,43.8,43.8,,
New Mexico,31.8,31.6,31.6,,
New York,41.2,40.6,40.6,,
North Carolina,37.1,36.8,36.8,,
North Dakota,34.0,33.6,33.6,,
Ohio,32.4,32.0,32.0,,
Oklahoma,29.3,28.7,28.7,,
Oregon,37.8,37.7,37.7,,
Pennsylvania,36.4,35.3,35.3,,
Rhode Island,39.0,39.0,39.0,,
South Carolina,33.3,32.9,32.9,,
South Dakota,34.2,33.3,33.3,,
Tennessee,32.4,31.7,31.7,,
Texas,35.2,34.2,34.2,,
Utah,39.1,38.4,38.4,,
Vermont,45.1,43.7,43.7,,
Virginia,43.3,42.4,42.4,,
Washington,41.0,40.5,40.5,,
West Virginia,24.4,24.0,24.0,,
Wisconsin,34.6,33.8,33.8,,
Wyoming,32.3,30.4,30.4,,
