GDL-Indicators-(2022)-data
Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,mschf,mschm
Afghanistan,Asia/Pacific,AFG,National,AFGt,Total,2022,1.174,3.913
Albania,Europe,ALB,National,ALBt,Total,2022,9.859,10.5
Algeria,Africa,DZA,National,DZAt,Total,2022,6.901,7.893
Andorra,Europe,AND,National,ANDt,Total,2022,11.52,11.7
Angola,Africa,AGO,National,AGOt,Total,2022,4.535,7.263
Antigua and Barbuda,America,ATG,National,ATGt,Total,2022,12.18,11.08
Argentina urban,America,ARG,National,ARGt,Total,2022,11.45,10.89
Armenia,Asia/Pacific,ARM,National,ARMt,Total,2022,11.36,11.33
Australia,Asia/Pacific,AUS,National,AUSt,Total,2022,12.95,12.78
Austria,Europe,AUT,National,AUTt,Total,2022,12.12,12.6
Azerbaijan,Europe,AZE,National,AZEt,Total,2022,10.81,11.12
"Bahamas, The",America,BHS,National,BHSt,Total,2022,12.9,12.76
Bahrain,Asia/Pacific,BHR,National,BHRt,Total,2022,12.12,10.66
Bangladesh,Asia/Pacific,BGD,National,BGDt,Total,2022,6.24,7.35
Barbados,America,BRB,National,BRBt,Total,2022,10.41,9.113
Belarus,Europe,BLR,National,BLRt,Total,2022,12.38,12.29
Belgium,Europe,BEL,National,BELt,Total,2022,12.69,12.67
Belize,America,BLZ,National,BLZt,Total,2022,8.755,8.77
Benin,Africa,BEN,National,BENt,Total,2022,2.049,4.59
Bhutan,Asia/Pacific,BTN,National,BTNt,Total,2022,5.212,6.33
Bolivia,America,BOL,National,BOLt,Total,2022,9.363,10.74
Bosnia and Herzegovina,Europe,BIH,National,BIHt,Total,2022,10.32,11.66
Botswana,Africa,BWA,National,BWAt,Total,2022,10.43,10.52
Brazil,America,BRA,National,BRAt,Total,2022,8.631,8.183
Brunei Darussalam,Asia/Pacific,BRN,National,BRNt,Total,2022,9.272,9.292
Bulgaria,Europe,BGR,National,BGRt,Total,2022,11.56,11.35
Burkina Faso,Africa,BFA,National,BFAt,Total,2022,1.603,3.1
Burundi,Africa,BDI,National,BDIt,Total,2022,2.808,4.303
Cambodia,Asia/Pacific,KHM,National,KHMt,Total,2022,4.374,6.2
Cameroon,Africa,CMR,National,CMRt,Total,2022,5.68,7.583
Canada,America,CAN,National,CANt,Total,2022,13.94,13.79
Cape Verde,Africa,CPV,National,CPVt,Total,2022,5.807,6.329
Central African Republic CAR,Africa,CAF,National,CAFt,Total,2022,2.7,5.439
Chad,Africa,TCD,National,TCDt,Total,2022,1.334,3.545
Chili,America,CHL,National,CHLt,Total,2022,11.21,11.39
China,Asia/Pacific,CHN,National,CHNt,Total,2022,7.818,8.269
Colombia,America,COL,National,COLt,Total,2022,9.203,8.863
Comoros,Africa,COM,National,COMt,Total,2022,5.164,6.935
Congo Brazzaville,Africa,COG,National,COGt,Total,2022,7.322,9.448
Congo Democratic Republic,Africa,COD,National,CODt,Total,2022,6.085,8.961
Costa Rica,America,CRI,National,CRIt,Total,2022,8.935,8.743
Cote d'Ivoire,Africa,CIV,National,CIVt,Total,2022,4.04,5.63
Croatia,Europe,HRV,National,HRVt,Total,2022,11.89,12.33
Cuba,America,CUB,National,CUBt,Total,2022,10.73,10.53
Cyprus,Europe,CYP,National,CYPt,Total,2022,12.55,12.56
Czechia,Europe,CZE,National,CZEt,Total,2022,12.84,13.1
Denmark,Europe,DNK,National,DNKt,Total,2022,13.24,12.82
Djibouti,Africa,DJI,National,DJIt,Total,2022,2.722,5.085
Dominica,America,DMA,National,DMAt,Total,2022,10.01,10.23
Dominican Republic,America,DOM,National,DOMt,Total,2022,9.889,8.991
Ecuador,America,ECU,National,ECUt,Total,2022,8.92,9.03
Egypt,Africa,EGY,National,EGYt,Total,2022,10.67,9.727
El Salvador,America,SLV,National,SLVt,Total,2022,6.943,7.633
Equatorial Guinea,Africa,GNQ,National,GNQt,Total,2022,8.001,8.562
Eritrea,Africa,ERI,National,ERIt,Total,2022,3.975,5.712
