Table 1
State,CollegeEducation__Value (Percent),CollegeEducation__People (Education: At Least Bachelor's Degree),"CrimeAgainstPropertyRate__Number of 
Participating
Agencies","CrimeAgainstPropertyRate__Population
Covered","CrimeAgainstPropertyRate__Total 
Offenses",CrimeAgainstPropertyRate__Arson,CrimeAgainstPropertyRate__Bribery,"CrimeAgainstPropertyRate__Burglary/
Breaking &
Entering","CrimeAgainstPropertyRate__Counterfeiting/
Forgery","CrimeAgainstPropertyRate__Destruction/
Damage/
Vandalism",CrimeAgainstPropertyRate__Embezzlement,"CrimeAgainstPropertyRate__Extortion/
Blackmail","CrimeAgainstPropertyRate__Fraud 
Offenses","CrimeAgainstPropertyRate__Larceny/
Theft
Offenses","CrimeAgainstPropertyRate__Motor
Vehicle
Theft",CrimeAgainstPropertyRate__Robbery,"CrimeAgainstPropertyRate__Stolen 
Property 
Offenses","CrimesAgainstPersons__Number of 
Participating
Agencies","CrimesAgainstPersons__Population
Covered","CrimesAgainstPersons__Total 
Offenses","CrimesAgainstPersons__Assault
Offenses","CrimesAgainstPersons__Homicide
Offenses","CrimesAgainstPersons__Human
Trafficking
Offenses","CrimesAgainstPersons__Kidnapping/
Abduction","CrimesAgainstPersons__Sex 
Offenses",NonHSGrad__Value (Percent) (Non High School Educated),NonHSGrad__People(Education: Less Than High School),RealMedianIncome__2024 (C-CPI-U Dollars),RealMedianIncome__Preceding Period ,RealMedianIncome__Year Ago,UnemploymentRate__2024,UnemploymentRate__2023,UnemploymentRate__2022,UrbanPopulation__Urban Population,UrbanPopulation__Population Percentage
Alabama,27.8,957081,408,"4,715,066","131,304",706,14.0,"11,313","3,375","27,009",212,303,"13,196","62,418","9,036","1,624","2,098",418,"5,033,518","82,427","79,522",463,101.0,309,"2,032",11.9,409381,65560.0,62230.0,62230.0,3.1,2.5,2.5,2900880.0,57.7
Alaska,31.2,152432,31,"443,171","9,938",62,2.0,887,162,"2,629",45,35,"1,218","3,974",770,108,46,32,"450,712","7,549","6,729",35,4.0,54,727,6.5,31854,91260.0,100700.0,100700.0,4.6,4.2,4.2,475967.0,64.9
Arizona,32.6,1627462,92,"4,649,268","125,876",491,17.0,"9,226","1,499","24,398",423,616,"19,038","58,448","8,819","1,345","1,556",92,"5,307,431","77,172","71,754",317,117.0,863,"4,121",10.9,544528,84700.0,84800.0,84800.0,3.6,3.7,3.7,6385230.0,89.3
Arkansas,25.1,513221,298,"2,981,249","109,867",379,3.0,"12,206","3,687","23,143",113,95,"9,345","51,065","6,476","1,166","2,189",361,"3,029,333","62,625","58,801",246,14.0,721,"2,843",11.4,233857,64840.0,64880.0,64880.0,3.5,3.1,3.1,1670677.0,55.5
California,36.5,9834361,629,"25,009,663","787,673","4,483",18.0,"73,052","12,695","134,394","3,477","1,787","77,725","332,143","102,914","23,563","21,422",654,"30,004,853","346,568","312,676","1,254",433.0,"8,990","23,215",15.4,4149146,100600.0,92200.0,92200.0,5.3,4.7,4.7,37259490.0,94.2
Colorado,44.7,1806355,224,"5,822,451","263,118","1,207",58.0,"20,256","3,083","54,112",284,"1,199","24,740","112,982","37,832","3,798","3,567",226,"5,914,071","74,075","65,060",336,88.0,"2,576","6,015",7.2,292446,106500.0,99140.0,99140.0,4.3,3.3,3.3,4966936.0,86
Connecticut,41.9,1062403,108,"3,617,176","97,740",191,6.0,"4,593","1,460","20,523",179,290,"15,292","41,824","10,393","1,570","1,419",108,"3,675,069","29,917","27,917",117,24.0,311,"1,548",8.7,219549,99240.0,94620.0,94620.0,3.2,3.2,3.2,3110153.0,86.3
Delaware,35.3,250626,63,"1,031,890","37,684",123,1.0,"1,891",469,"9,449",112,138,"6,236","15,791","2,307",538,629,63,"1,051,917","17,353","16,634",68,6.0,228,417,8.6,61144,85860.0,88570.0,88570.0,3.7,3.8,3.8,817817.0,82.6
District of Columbia,63.6,307906,2,"678,972","56,798",4,0.0,"1,685",174,"17,948",19,91,"4,109","20,681","7,411","4,173",503,2,"702,250","22,320","21,437",179,0.0,49,655,7.2,34651,104800.0,113900.0,113900.0,5.2,4.8,4.8,689545.0,100
Florida,33.2,5263931,132,"9,583,627","208,111",428,12.0,"14,438","3,951","29,201",781,627,"24,212","115,881","12,743","4,222","1,615",159,"13,933,073","137,104","130,073",583,139.0,"1,559","4,750",10.4,1643437,75630.0,74070.0,74070.0,3.4,3.0,3.0,19714806.0,91.5
Georgia,34.2,2480907,447,"10,098,610","275,919",702,19.0,"20,327","7,563","44,370",634,692,"38,325","130,880","24,119","4,101","4,187",434,"10,402,990","136,519","124,974",780,306.0,"2,576","7,883",11.0,801324,81210.0,74290.0,74290.0,3.5,3.3,3.3,7933986.0,74.1
