Table 1
State,Population,Percentage,,,
California,37259490,94.2%,,,
Texas,24400697,83.7%,,,
Florida,19714806,91.5%,,,
New York,17665166,87.4%,,,
Illinois,11137590,86.9%,,,
Pennsylvania,9941070,76.5%,,,
Ohio,9001099,76.3%,,,
New Jersey,8708779,93.8%,,,
Georgia,7933986,74.1%,,,
Michigan,7404258,73.5%,,,
North Carolina,6964727,66.7%,,,
Virginia,6528313,75.6%,,,
Washington,6424035,83.4%,,,
Massachusetts,6416895,91.3%,,,
Arizona,6385230,89.3%,,,
Maryland,5288760,85.6%,,,
Colorado,4966936,86%,,,
Indiana,4829686,71.2%,,,
Tennessee,4577282,66.2%,,,
Missouri,4275663,69.5%,,,
Minnesota,4101754,71.9%,,,
Wisconsin,3953691,67.1%,,,
South Carolina,3477869,67.9%,,,
Oregon,3410984,80.5%,,,
Louisiana,3332237,71.5%,,,
Connecticut,3110153,86.3%,,,
Utah,2937303,89.8%,,,
Nevada,2921203,94.1%,,,
Alabama,2900880,57.7%,,,
Kentucky,2644856,58.7%,,,
Oklahoma,2558611,64.6%,,,
Kansas,2124059,72.3%,,,
Iowa,2014831,63.2%,,,
Arkansas,1670677,55.5%,,,
New Mexico,1578552,74.5%,,,
Nebraska,1432003,73%,,,
Mississippi,1370790,46.3%,,,
Idaho,1273437,69.2%,,,
Hawaii,1252450,86.1%,,,
Rhode Island,999191,91.1%,,,
Delaware,817817,82.6%,,,
New Hampshire,803420,58.3%,,,
West Virginia,800857,44.6%,,,
District of Columbia,689545,100%,,,
Montana,579177,53.4%,,,
Maine,526309,38.6%,,,
South Dakota,507347,57.2%,,,
Alaska,475967,64.9%,,,
North Dakota,474989,61%,,,
Wyoming,357750,62%,,,
Vermont,225850,35.1%,,,
